source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
ptough3,double,numeric,,PRISON LIFE TOUGHER (QD8B),F9.2,,,TRUE,Retained
pr_only3,double,numeric,,ONLY DANGEROUS CRIMINALS TO PRIS. (QD8C),F9.2,,,TRUE,Retained
life3,double,numeric,,ALL MURDERERS LIFE SENTENCE (QD8D),F9.2,,,TRUE,Retained
s_tough3,double,numeric,,TOUGHER SENTENCES (QD8E),F9.2,,,TRUE,Retained
lifmean3,double,numeric,,LIFE SENTENCE MEANS LIFE (QD8F),F9.2,,,TRUE,Retained
refpris3,double,numeric,,TRY HARDER TO REFORM PRISONERS (QD8G),F9.2,,,TRUE,Retained
death3,double,numeric,,DEATH MOST APPROP. FOR SOME CRIMES (QD9),F9.2,,,TRUE,Retained
prtoo3,double,numeric,,PRISON LIFE TOO SOFT/TOUGH (QD10),F9.2,,,TRUE,Retained
prhard3,double,numeric,,PRISON HARDENS CRIMINALS (QD11),F9.2,,,TRUE,Retained
outprsn3,double,numeric,,MORE OFFENDERS OUT OF PRISON (QD12A),F9.2,,,TRUE,Retained
comserv3,double,numeric,,MORE OFFENDERS: COMMUNITY SERV. (QD12B),F9.2,,,TRUE,Retained
milserv3,double,numeric,,MORE OFFENDERS: MILITARY SERV. (QD12C),F9.2,,,TRUE,Retained
train3,double,numeric,,MORE OFFENDERS GET TRAINING (QD12D),F9.2,,,TRUE,Retained
cb1warn3,double,numeric,,1ST-X CHILD BURGLAR: JUST WARN (QD13A),F9.2,,,TRUE,Retained
cb1serv3,double,numeric,,1ST-X CHILD BURGLAR: COMM. SERV. (QD13B),F9.2,,,TRUE,Retained
cb1inst3,double,numeric,,1ST-X CHILD BURGLAR: SPEC. INST. (QD13C),F9.2,,,TRUE,Retained
cb1pris3,double,numeric,,1ST-X CHILD BURGLAR: ORD. PRISON (QD13D),F9.2,,,TRUE,Retained
special3,double,numeric,,SPEC. TOUGH INST. REPEAT CH'D OF. (QD14),F9.2,,,TRUE,Retained
ageadlt3,double,numeric,,WHAT AGE YOUNG OFF. ADULS SENT. (QD15),F9.2,,,TRUE,Retained
punref3,double,numeric,,PUNISHMENT VS. REFORM (QD16A),F9.2,,,TRUE,Retained
causapp3,double,numeric,,CAUSES VS. APPREHENSION (QD16B),F9.2,,,TRUE,Retained
peoppol3,double,numeric,,PROTECT PROP.: PEOPLE VS. POLICE (QD16C),F9.2,,,TRUE,Retained
innglt3,double,numeric,,CONVICT INNOC. VS. NO PUN. GUILTY (QD17),F9.2,,,TRUE,Retained
tv3,double,numeric,,WATCHED WEEKEND ON TV (QD20),F9.2,,,TRUE,Retained
discuss3,double,numeric,,DISCUSSED WEEKEND (QD21),F9.2,,,TRUE,Retained
interes3,double,numeric,,PARTIC. LED MORE/LESS INTEREST (QD22),F9.2,,,TRUE,Retained
lfact13,double,numeric,,DEATH SENTENCE IN BRITAIN,F9.2,,,TRUE,Retained
lfact23,double,numeric,,BRITAIN LARGEST PRISON POP.,F9.2,,,TRUE,Retained
lfact33,double,numeric,,BRITAIN MORE LIFE SENTENCES,F9.2,,,TRUE,Retained
lfact43,double,numeric,,JURY TRIAL LOCAL MAGIST'S COURT,F9.2,,,TRUE,Retained
pfact13,double,numeric,,NUMBER OF MP'S ABOUT 100?,F9.2,,,TRUE,Retained
pfact23,double,numeric,,MAX 4 YRS. BETWEEN GENERAL ELEC.,F9.2,,,TRUE,Retained
pfact33,double,numeric,,BRITAIN HAS PROPORTIONAL REPRES.,F9.2,,,TRUE,Retained
pfact43,double,numeric,,NOT ELEC. REGIST. 2 DIFF. PLACES,F9.2,,,TRUE,Retained
pk3,double,numeric,,(PFACT12+PFACT22+PFACT32+PFACT42):4,F9.2,,,TRUE,Retained
lk3,double,numeric,,(LFACT12+LFACT22+LFACT32+LFACT42):4,F9.2,,,TRUE,Retained
resprop1,double,numeric,,,F9.2,,,TRUE,Retained
resprop2,double,numeric,,,F9.2,,,TRUE,Retained
caseid,double,numeric,,,F9.2,,,TRUE,Retained
group,double,numeric,,SMALL GROUP NUMBER,F9.2,,,TRUE,Retained
mosteff1,double,numeric,,MOST EFFECTIVE WAY OF REDUCING CRIME,F9.2,,,TRUE,Retained
mosteff2,double,numeric,,MOST EFFECTIVE WAY OF REDUCING CRIME,F9.2,,,TRUE,Retained
mosteff3,double,numeric,,MOST EFFECTIVE WAY OF REDUCING CRIME,F9.2,,,TRUE,Retained
seceff1,double,numeric,,SECOND MOST EFFECTIVE WAY OF REDUCING CR,F9.2,,,TRUE,Retained
seceff2,double,numeric,,SECOND MOST EFFECTIVE WAY OF REDUCING CR,F9.2,,,TRUE,Retained
seceff3,double,numeric,,SECOND MOST EFFECTIVE WAY OF REDUCING CR,F9.2,,,TRUE,Retained
thrdeff1,double,numeric,,THIRD MOST EFFECTIVE WAY OF REDUCING CRI,F9.2,,,TRUE,Retained
thrdeff2,double,numeric,,THIRD MOST EFFECTIVE WAY OF REDUCING CRI,F9.2,,,TRUE,Retained
thrdeff3,double,numeric,,THIRD MOST EFFECTIVE WAY OF REDUCING CRI,F9.2,,,TRUE,Retained
pido,double,numeric,,,F9.2,,,TRUE,Retained
pidt,double,numeric,,,F9.2,,,TRUE,Retained
newstri,double,numeric,,,F9.2,,,TRUE,Retained
eductri,double,numeric,,,F9.2,,,TRUE,Retained
kw11,double,numeric,,DEATH SENTENCE PERMITTED IN BRITAIN (Q18,F9.2,,,TRUE,Retained
kw12,double,numeric,,DEATH SENTENCE PERMITTED IN BRITAIN (QQ1,F9.2,,,TRUE,Retained
kw13,double,numeric,,DEATH SENTENCE PERMITTED IN BRITAIN (QD1,F9.2,,,TRUE,Retained
kw41,double,numeric,,JURY TRIAL LOCAL MAGIST'S COURT (Q18D),F9.2,,,TRUE,Retained
kw42,double,numeric,,JURY TRIAL LOCAL MAGIST'S COURT (QQ18D),F9.2,,,TRUE,Retained
kw43,double,numeric,,JURY TRIAL LOCAL MAGIST'S COURT (QD18D),F9.2,,,TRUE,Retained
pkw11,double,numeric,,NUMBER OF MP'S ABOUT 100? (Q19A),F9.2,,,TRUE,Retained
pkw12,double,numeric,,NUMBER OF MP'S ABOUT 100? (QQ19A),F9.2,,,TRUE,Retained
