legacy_field,caseid,historical_value,approved_value
attextreme,30001740,0.84603174603174602,0.20317460317460317
attextreme,30001750,0.57607709750566904,0.24750566893424036
attextreme,30001760,0.92585034013605405,0.15442176870748298
attextreme,30001770,1.6244897959183699,0.33877551020408164
attextreme,30001780,1.6571428571428599,0.37142857142857144
attextreme,30001790,1.1704081632653101,0.27040816326530609
attextreme,30001800,1.36326530612245,0.33469387755102042
attextreme,30001810,0.307142857142857,0.29285714285714282
attextreme,30001820,1.3193877551020401,0.29081632653061223
attextreme,30001830,1.6397959183673501,0.35408163265306125
attextreme,30001840,1.18151927437642,0.15294784580498869
attextreme,30001850,1.72857142857143,0.44285714285714289
attextreme,30001860,0.96632653061224505,0.32346938775510203
attextreme,30001870,1.6020408163265301,0.31632653061224492
attextreme,30001880,0.95124716553288002,0.30839002267573701
attextreme,30001890,1.1290249433106601,0.22902494331065756
attextreme,30001900,0.42857142857142899,0.42857142857142855
attextreme,30001910,1.71428571428571,0.42857142857142855
attextreme,30001920,0.90861678004535196,0.26575963718820861
attextreme,30001930,1.5857142857142901,0.29999999999999999
attextreme,30001940,1.1054421768707501,0.20544217687074826
attextreme,30001950,1.71428571428571,0.42857142857142855
attextreme,30001960,1.78571428571429,0.5
attextreme,30001970,1.7081632653061201,0.42244897959183675
attextreme,30001980,1.7634920634920599,0.47777777777777775
attextreme,30001990,0.52857142857142903,0.35714285714285715
attextreme,30002000,1.03571428571429,0.26428571428571429
attextreme,30002010,1.0816326530612199,0.31020408163265306
attextreme,30002020,1.4126984126984099,0.38412698412698415
attextreme,30002030,1.7295918367346901,0.44387755102040816
attextreme,30002040,0.39092970521541898,0.21950113378684805
attextreme,30002050,1.1306122448979601,0.2306122448979592
attextreme,30002060,0.46984126984127,0.29841269841269835
attextreme,30002070,1.39353741496599,0.23639455782312924
attextreme,30002080,0.42857142857142899,0.42857142857142855
attextreme,30002090,1.66530612244898,0.37959183673469388
attextreme,30002100,0.45578231292517002,0.28435374149659864
attextreme,30002110,0.91575963718820896,0.14433106575963719
attextreme,30002120,0.81938775510204098,0.17653061224489797
attextreme,30002130,0.83514739229024904,0.34943310657596366
attextreme,30002140,1.6785714285714299,0.39285714285714285
attextreme,30002150,1.6032879818594099,0.31757369614512471
attextreme,30002160,1.1880952380952401,0.28809523809523807
attextreme,30002170,1.2547619047619001,0.35476190476190478
attextreme,30002180,0.96428571428571397,0.32142857142857145
attextreme,30002190,1.58786848072562,0.30215419501133789
attextreme,30002200,0.22448979591836701,0.22448979591836735
attextreme,30002210,0.40000000000000002,0.39999999999999997
attextreme,30002220,0.81723356009070303,0.17437641723356009
attextreme,30002230,1.2351473922902501,0.33514739229024937
attextreme,30002240,0.82993197278911601,0.1870748299319728
attextreme,30002250,1.3045351473922899,0.27596371882086174
attextreme,30002260,0.69841269841269804,0.3698412698412698
attextreme,30002270,0.97131519274376399,0.19988662131519272
attextreme,30002280,1.15997732426304,0.25997732426303855
attextreme,30002290,1.35816326530612,0.32959183673469383
attextreme,30002300,1.03571428571429,0.39285714285714285
attextreme,30002310,0.76643990929705197,0.1235827664399093
attextreme,30002320,1.4060090702947801,0.24886621315192745
meanxtreme,30000010,1.2859599395313701,0.31453136810279669
meanxtreme,30000020,1.2213685474189699,0.33313325330132054
meanxtreme,30000030,1.1251637692113901,0.2973859914336105
meanxtreme,30000040,0.99586876417233605,0.27176162131519277
meanxtreme,30000050,1.1251637692113901,0.2973859914336105
meanxtreme,30000060,1.17870606575964,0.31263463718820861
meanxtreme,30000070,1.18058556756036,0.30243430705615582
meanxtreme,30000080,1.18058556756036,0.30243430705615582
meanxtreme,30000090,1.26373771730915,0.32802343159486019
meanxtreme,30000100,1.0813279478458,0.29650651927437643
meanxtreme,30000110,1.0813279478458,0.29650651927437643
meanxtreme,30000120,1.01498488284203,0.30387377173091457
meanxtreme,30000130,1.18058556756036,0.30243430705615582
meanxtreme,30000140,1.3358805744519999,0.29873771730914589
meanxtreme,30000150,1.0645724956649301,0.28894224356409232
meanxtreme,30000160,1.3358805744519999,0.29873771730914589
meanxtreme,30000170,1.2859599395313701,0.31453136810279669
meanxtreme,30000180,1.1251637692113901,0.2973859914336105
meanxtreme,30000190,1.17870606575964,0.31263463718820861
meanxtreme,30000200,1.26373771730915,0.32802343159486019
meanxtreme,30000210,1.2859599395313701,0.31453136810279669
meanxtreme,30000220,1.17870606575964,0.31263463718820861
meanxtreme,30000230,1.28064767573696,0.32796910430838999
meanxtreme,30000240,1.2213685474189699,0.33313325330132054
meanxtreme,30000250,1.0813279478458,0.29650651927437643
meanxtreme,30000260,1.18058556756036,0.30243430705615582
meanxtreme,30000270,1.17870606575964,0.31263463718820861
meanxtreme,30000280,1.1002763605442201,0.27349064625850339
meanxtreme,30000290,1.2859599395313701,0.31453136810279669
meanxtreme,30000300,1.26373771730915,0.32802343159486019
meanxtreme,30000310,1.0645724956649301,0.28894224356409232
meanxtreme,30000320,1.1002763605442201,0.27349064625850339
meanxtreme,30000330,1.1002763605442201,0.27349064625850339
meanxtreme,30000340,1.0645724956649301,0.28894224356409232
meanxtreme,30000350,1.26373771730915,0.32802343159486019
meanxtreme,30000360,1.3358805744519999,0.29873771730914589
meanxtreme,30000370,1.2859599395313701,0.31453136810279669
meanxtreme,30000380,1.1414075153871099,0.30671363783608679
meanxtreme,30000390,1.0645724956649301,0.28894224356409232
meanxtreme,30000400,1.26373771730915,0.32802343159486019
meanxtreme,30000410,1.2859599395313701,0.31453136810279669
meanxtreme,30000420,1.17870606575964,0.31263463718820861
meanxtreme,30000430,1.28064767573696,0.32796910430838999
meanxtreme,30000440,1.01498488284203,0.30387377173091457
meanxtreme,30000450,1.0645724956649301,0.28894224356409232
meanxtreme,30000460,1.2213685474189699,0.33313325330132054
meanxtreme,30000470,1.28064767573696,0.32796910430838999
meanxtreme,30000480,1.28064767573696,0.32796910430838999
meanxtreme,30000490,1.18058556756036,0.30243430705615582
meanxtreme,30000500,0.99586876417233605,0.27176162131519277
meanxtreme,30000510,1.2859599395313701,0.31453136810279669
meanxtreme,30000520,1.1002763605442201,0.27349064625850339
meanxtreme,30000530,1.26373771730915,0.32802343159486019
meanxtreme,30000540,1.3358805744519999,0.29873771730914589
meanxtreme,30000550,1.1251637692113901,0.2973859914336105
meanxtreme,30000560,1.26373771730915,0.32802343159486019
meanxtreme,30000570,1.1002763605442201,0.27349064625850339
meanxtreme,30000580,1.0813279478458,0.29650651927437643
meanxtreme,30000590,1.17870606575964,0.31263463718820861
meanxtreme,30000600,1.18058556756036,0.30243430705615582
meanxtreme,30000610,1.01498488284203,0.30387377173091457
meanxtreme,30000620,1.18058556756036,0.30243430705615582
meanxtreme,30000630,1.28064767573696,0.32796910430838999
meanxtreme,30000640,1.2213685474189699,0.33313325330132054
meanxtreme,30000650,1.2213685474189699,0.33313325330132054
meanxtreme,30000660,1.0813279478458,0.29650651927437643
meanxtreme,30000670,1.28064767573696,0.32796910430838999
meanxtreme,30000680,1.0813279478458,0.29650651927437643
meanxtreme,30000690,1.26373771730915,0.32802343159486019
meanxtreme,30000700,1.17870606575964,0.31263463718820861
meanxtreme,30000710,1.0645724956649301,0.28894224356409232
meanxtreme,30000720,1.0813279478458,0.29650651927437643
meanxtreme,30000730,1.01498488284203,0.30387377173091457
meanxtreme,30000740,1.26373771730915,0.32802343159486019
meanxtreme,30000750,1.01498488284203,0.30387377173091457
meanxtreme,30000760,1.26373771730915,0.32802343159486019
meanxtreme,30000770,1.28064767573696,0.32796910430838999
meanxtreme,30000780,1.3358805744519999,0.29873771730914589
meanxtreme,30000790,1.18058556756036,0.30243430705615582
meanxtreme,30000800,1.01498488284203,0.30387377173091457
meanxtreme,30000810,1.18058556756036,0.30243430705615582
meanxtreme,30000820,1.0645724956649301,0.28894224356409232
meanxtreme,30000830,1.1002763605442201,0.27349064625850339
meanxtreme,30000840,1.3358805744519999,0.29873771730914589
meanxtreme,30000850,1.1414075153871099,0.30671363783608679
meanxtreme,30000860,1.18058556756036,0.30243430705615582
meanxtreme,30000870,1.26373771730915,0.32802343159486019
meanxtreme,30000880,1.0813279478458,0.29650651927437643
meanxtreme,30000890,1.1251637692113901,0.2973859914336105
meanxtreme,30000900,1.1251637692113901,0.2973859914336105
meanxtreme,30000910,1.01498488284203,0.30387377173091457
meanxtreme,30000920,1.2859599395313701,0.31453136810279669
meanxtreme,30000930,1.28064767573696,0.32796910430838999
meanxtreme,30000940,1.26373771730915,0.32802343159486019
meanxtreme,30000950,1.1414075153871099,0.30671363783608679
meanxtreme,30000960,1.17870606575964,0.31263463718820861
meanxtreme,30000970,1.2213685474189699,0.33313325330132054
meanxtreme,30000980,1.0813279478458,0.29650651927437643
meanxtreme,30000990,1.3358805744519999,0.29873771730914589
meanxtreme,30001000,1.1251637692113901,0.2973859914336105
meanxtreme,30001010,1.2859599395313701,0.31453136810279669
meanxtreme,30001020,0.99586876417233605,0.27176162131519277
meanxtreme,30001030,1.17870606575964,0.31263463718820861
meanxtreme,30001040,1.0813279478458,0.29650651927437643
meanxtreme,30001050,1.26373771730915,0.32802343159486019
meanxtreme,30001060,1.26373771730915,0.32802343159486019
meanxtreme,30001070,1.18058556756036,0.30243430705615582
meanxtreme,30001080,1.17870606575964,0.31263463718820861
meanxtreme,30001090,1.1251637692113901,0.2973859914336105
meanxtreme,30001100,1.0645724956649301,0.28894224356409232
meanxtreme,30001110,1.0645724956649301,0.28894224356409232
meanxtreme,30001120,1.01498488284203,0.30387377173091457
meanxtreme,30001130,1.2859599395313701,0.31453136810279669
meanxtreme,30001140,1.1414075153871099,0.30671363783608679
meanxtreme,30001150,1.28064767573696,0.32796910430838999
meanxtreme,30001160,1.1251637692113901,0.2973859914336105
meanxtreme,30001170,1.1002763605442201,0.27349064625850339
meanxtreme,30001180,1.17870606575964,0.31263463718820861
meanxtreme,30001190,1.1251637692113901,0.2973859914336105
meanxtreme,30001200,1.0645724956649301,0.28894224356409232
meanxtreme,30001210,1.3358805744519999,0.29873771730914589
meanxtreme,30001220,1.1002763605442201,0.27349064625850339
meanxtreme,30001230,1.3358805744519999,0.29873771730914589
