source_column,source_value,value_label
PRE_Q16d,998,Skipped
PRE_Q16d,999,T2 only group
PRE_Q17a,1,Agree strongly
PRE_Q17a,2,Agree somewhat
PRE_Q17a,3,Neither agree nor disagree
PRE_Q17a,4,Disagree somewhat
PRE_Q17a,5,Disagree strongly
PRE_Q17a,99,No opinion
PRE_Q17a,998,Skipped
PRE_Q17a,999,T2 only group
PRE_Q17b,1,Agree strongly
PRE_Q17b,2,Agree somewhat
PRE_Q17b,3,Neither agree nor disagree
PRE_Q17b,4,Disagree somewhat
PRE_Q17b,5,Disagree strongly
PRE_Q17b,99,No opinion
PRE_Q17b,998,Skipped
PRE_Q17b,999,T2 only group
PRE_Q17c,1,Agree strongly
PRE_Q17c,2,Agree somewhat
PRE_Q17c,3,Neither agree nor disagree
PRE_Q17c,4,Disagree somewhat
PRE_Q17c,5,Disagree strongly
PRE_Q17c,99,No opinion
PRE_Q17c,998,Skipped
PRE_Q17c,999,T2 only group
PRE_Q17d,1,Agree strongly
PRE_Q17d,2,Agree somewhat
PRE_Q17d,3,Neither agree nor disagree
PRE_Q17d,4,Disagree somewhat
PRE_Q17d,5,Disagree strongly
PRE_Q17d,99,No opinion
PRE_Q17d,998,Skipped
PRE_Q17d,999,T2 only group
PRE_Q17e,1,Agree strongly
PRE_Q17e,2,Agree somewhat
PRE_Q17e,3,Neither agree nor disagree
PRE_Q17e,4,Disagree somewhat
PRE_Q17e,5,Disagree strongly
PRE_Q17e,99,No opinion
PRE_Q17e,998,Skipped
PRE_Q17e,999,T2 only group
PRE_Q18a,1,Agree strongly
PRE_Q18a,2,Agree somewhat
PRE_Q18a,3,Neither agree nor disagree
PRE_Q18a,4,Disagree somewhat
PRE_Q18a,5,Disagree strongly
PRE_Q18a,99,No opinion
PRE_Q18a,998,Skipped
PRE_Q18a,999,T2 only group
PRE_Q18b,1,Agree strongly
PRE_Q18b,2,Agree somewhat
PRE_Q18b,3,Neither agree nor disagree
PRE_Q18b,4,Disagree somewhat
PRE_Q18b,5,Disagree strongly
PRE_Q18b,99,No opinion
PRE_Q18b,998,Skipped
PRE_Q18b,999,T2 only group
PRE_Q18c,1,Agree strongly
PRE_Q18c,2,Agree somewhat
PRE_Q18c,3,Neither agree nor disagree
PRE_Q18c,4,Disagree somewhat
PRE_Q18c,5,Disagree strongly
PRE_Q18c,99,No opinion
PRE_Q18c,998,Skipped
PRE_Q18c,999,T2 only group
PRE_Q18d,1,Agree strongly
PRE_Q18d,2,Agree somewhat
PRE_Q18d,3,Neither agree nor disagree
PRE_Q18d,4,Disagree somewhat
PRE_Q18d,5,Disagree strongly
PRE_Q18d,99,No opinion
PRE_Q18d,998,Skipped
PRE_Q18d,999,T2 only group
PRE_Q18e,1,Agree strongly
PRE_Q18e,2,Agree somewhat
PRE_Q18e,3,Neither agree nor disagree
PRE_Q18e,4,Disagree somewhat
PRE_Q18e,5,Disagree strongly
PRE_Q18e,99,No opinion
PRE_Q18e,998,Skipped
PRE_Q18e,999,T2 only group
PRE_Q18f,1,Agree strongly
PRE_Q18f,2,Agree somewhat
PRE_Q18f,3,Neither agree nor disagree
PRE_Q18f,4,Disagree somewhat
PRE_Q18f,5,Disagree strongly
PRE_Q18f,99,No opinion
PRE_Q18f,998,Skipped
PRE_Q18f,999,T2 only group
PRE_Q19,1,"50,000"
PRE_Q19,2,"500,000"
PRE_Q19,3,"5,000,000"
PRE_Q19,4,"15,000,000"
PRE_Q19,99,Couldn't say
PRE_Q19,998,Skipped
PRE_Q19,999,T2 only group
PRE_Q20,1,Increase electoral competition
PRE_Q20,2,Ensure a majority for one party over another
PRE_Q20,3,Include independents in the primary process
PRE_Q20,4,Make them much smaller
PRE_Q20,99,Couldn't say
PRE_Q20,998,Skipped
PRE_Q20,999,T2 only group
PRE_Q21,1,10%
PRE_Q21,2,30%
PRE_Q21,3,50%
PRE_Q21,4,70%
PRE_Q21,99,Couldn't say
PRE_Q21,998,Skipped
PRE_Q21,999,T2 only group
PRE_Q22,1,Ireland
PRE_Q22,2,United Kingdom
PRE_Q22,3,Australia
PRE_Q22,4,South Korea
PRE_Q22,99,Couldn't say
PRE_Q22,998,Skipped
PRE_Q22,999,T2 only group
PRE_Q23,1,Nobody
