caseid,source_row,pollgroup,legacy_field,historical_value,approved_value
52076,96,5214,chi.t1att2,0.6666666865348816,0.6666666865348816
52121,97,5206,chi.t1att2,1,1
52226,98,5216,chi.t1att2,0.5,0.5
52142,99,5204,chi.t1att2,0.30000001192092896,0.30000001192092896
52160,100,5207,chi.t1att2,0.6666666865348816,0.6666666865348816
52149,101,5201,chi.t1att2,0.8333333134651184,0.8333333134651184
52111,102,5204,chi.t1att2,0.6499999761581421,0.6499999761581421
52236,103,5207,chi.t1att2,0,0
52239,104,5202,chi.t1att2,0.5,0.5
52075,105,5203,chi.t1att2,1,1
52110,106,5211,chi.t1att2,0.5,0.5
52177,107,5202,chi.t1att2,0.6666666865348816,0.6666666865348816
52060,108,5207,chi.t1att2,0.7333333492279053,0.7333333492279053
52126,109,5201,chi.t1att2,0.44999998807907104,0.44999998807907104
52093,110,5211,chi.t1att2,0.25,0.25
52083,111,5208,chi.t1att2,0.5333333015441895,0.5333333015441895
52176,112,5211,chi.t1att2,0.6666666865348816,0.6666666865348816
52106,113,5213,chi.t1att2,1,1
52125,114,5204,chi.t1att2,0.800000011920929,0.800000011920929
52157,115,5213,chi.t1att2,0.5,0.5
52129,116,5214,chi.t1att2,1,1
52052,117,5215,chi.t1att2,0.699999988079071,0.699999988079071
52086,118,5207,chi.t1att2,0.5,0.5
52079,119,5214,chi.t1att2,0.5,0.5
52154,120,5208,chi.t1att2,0.75,0.75
52068,121,5209,chi.t1att2,0.4000000059604645,0.4000000059604645
52048,122,5211,chi.t1att2,0.1666666716337204,0.1666666716337204
52134,123,5207,chi.t1att2,1,1
52097,124,5216,chi.t1att2,1,1
52139,125,5202,chi.t1att2,1,1
52171,126,5212,chi.t1att2,0.6000000238418579,0.6000000238418579
52161,127,5205,chi.t1att2,0.5,0.5
52085,128,5214,chi.t1att2,0.23333333432674408,0.23333333432674408
52122,129,5206,chi.t1att2,0.5,0.5
52059,130,5211,chi.t1att2,0.4333333373069763,0.4333333373069763
52163,131,5209,chi.t1att2,1,1
52089,132,5207,chi.t1att2,0.5,0.5
52069,133,5213,chi.t1att2,0.4000000059604645,0.4000000059604645
52062,134,5212,chi.t1att2,0.23333333432674408,0.23333333432674408
52091,135,5209,chi.t1att2,0.1666666716337204,0.1666666716337204
52223,136,5205,chi.t1att2,0.5,0.5
52179,137,5205,chi.t1att2,0.5,0.5
52150,138,5203,chi.t1att2,0.23333333432674408,0.23333333432674408
52094,139,5202,chi.t1att2,0.25,0.25
52095,140,5205,chi.t1att2,0.5,0.5
52137,141,5205,chi.t1att2,0.1666666716337204,0.1666666716337204
52153,142,5206,chi.t1att2,0.3333333432674408,0.3333333432674408
52181,143,5207,chi.t1att2,0.8333333134651184,0.8333333134651184
52098,145,5201,chi.t1att2,1,1
52178,146,5206,chi.t1att2,0.23333334922790527,0.23333334922790527
52050,147,5207,chi.t1att2,NA,0.4833333194255829
52222,148,5201,chi.t1att2,0.46666666865348816,0.46666666865348816
52061,149,5206,chi.t1att2,0.6666666865348816,0.6666666865348816
52092,150,5208,chi.t1att2,0.5,0.5
52109,151,5213,chi.t1att2,1,1
52103,152,5206,chi.t1att2,0.6000000238418579,0.6000000238418579
52084,153,5204,chi.t1att2,0.5,0.5
52146,154,5209,chi.t1att2,0.3333333432674408,0.3333333432674408
52159,155,5208,chi.t1att2,0.1666666716337204,0.1666666716337204
52175,156,5204,chi.t1att2,0.6000000238418579,0.6000000238418579
52090,157,5208,chi.t1att2,0.5,0.5
52216,158,5211,chi.t1att2,0.5,0.5
52123,159,5205,chi.t1att2,0.5,0.5
52064,160,5210,chi.t1att2,1,1
52100,161,5201,chi.t1att2,0.5,0.5
52214,162,5212,chi.t1att2,0.5,0.5
52220,163,5216,chi.t1att2,0.5,0.5
52055,164,5204,chi.t1att2,0.75,0.75
52132,165,5213,chi.t1att2,1,1
52065,166,5201,chi.t1att2,0,0
52114,167,5203,chi.t1att2,0.5,0.5
52174,168,5205,chi.t1att2,0.6000000238418579,0.6000000238418579
52167,169,5206,chi.t1att2,0.5,0.5
52235,170,5208,chi.t1att2,0.5,0.5
52215,171,5204,chi.t1att2,0.5,0.5
52217,172,5215,chi.t1att2,0.5,0.5
52107,173,5210,chi.t1att2,1,1
52130,174,5208,chi.t1att2,1,1
52254,175,5202,chi.t1att2,1,1
52113,176,5202,chi.t1att2,0.5,0.5
52133,177,5206,chi.t1att2,0.5,0.5
52108,178,5213,chi.t1att2,0.4000000059604645,0.4000000059604645
52131,179,5214,chi.t1att2,0.6666666865348816,0.6666666865348816
52067,180,5212,chi.t1att2,1,1
52141,181,5203,chi.t1att2,0.6000000238418579,0.6000000238418579
52073,182,5216,chi.t1att2,0.5,0.5
52101,183,5214,chi.t1att2,0.8999999761581421,0.8999999761581421
52124,184,5211,chi.t1att2,0.5,0.5
52049,185,5210,chi.t1att2,0.7333333492279053,0.7333333492279053
52057,186,5203,chi.t1att2,0.5,0.5
52230,187,5216,chi.t1att2,0.5,0.5
52080,188,5213,chi.t1att2,0.8333333134651184,0.8333333134651184
52074,189,5202,chi.t1att2,0.6333333253860474,0.6333333253860474
