source_column,source_value,value_label
eucknch,-1,change from right to wrong
eucknch,0,no change
eucknch,1,change from wrong to right
eulknch,-1,change from right to wrong
eulknch,0,no change
eulknch,1,change from wrong to right
euldknch,-1,change from right to wrong
euldknch,0,no change
euldknch,1,change from wrong to right
filter,0,not selected
filter,1,selected
