poll_id,poll_name,n_indices,att_index,t1var,t2_t3var,details
52,China,9,Commercial Roads,chi.t1att4,chi.t2att4,
52,China,9,Wenchang Main Avenue,chi.t1att5,chi.t2att5,
52,China,9,Other Parks,chi.t1att6,chi.t2att6,
52,China,9,Township Image,chi.t1att7,chi.t2att7,
52,China,9,Cultural Heritage,chi.t1att8,chi.t2att8,
52,China,9,Sewage Treatment,chi.t1att9,chi.t2att9,
95,BTP 2004 Online Primaries,3,Free Trade,btp04pr.t1trade,btp04pr.t2trade,
95,BTP 2004 Online Primaries,3,Multilateralism,btp04pr.t1mindex,btp04pr.t2mindex,
95,BTP 2004 Online Primaries,3,Services vs. Taxes,btp04pr.t1services,btp04pr.t2services,
93,BTP 2003,9,Fighting Poverty and Suffering,btp03.olt1usseca,btp03.olt2usseca,
93,BTP 2003,9,Human Rights,btp03.olt1humrh2,btp03.olt2humrh2,
93,BTP 2003,9,Protecting the Environment,btp03.olt1envir,btp03.olt2envir,
93,BTP 2003,9,Internationalism,btp03.olt1inter,btp03.olt2inter,
93,BTP 2003,9,Multilateralism,btp03.olt1multi,btp03.olt2multi,
93,BTP 2003,9,Democracy,btp03.olt1demo,btp03.olt2demo,
93,BTP 2003,9,Increasing Foreign Aid,btp03.olt1forai1,btp03.olt2forai1,
93,BTP 2003,9,Fighting Terrorism,btp03.olt1global,btp03.olt2global,
93,BTP 2003,9,Liberalizing Trade,btp03.olt1trade,btp03.olt2trade,
