caseid,source_row,pollgroup,baseline_police_raw,post_children_raw,post_tv_raw,post_discipline_raw,pre,historical_post,candidate_post,delta
10714,714,2710,5,5,5,5,1,1,1,0
10719,719,2716,5,5,3,4,0.75,0.75,0.75,0
10723,723,2702,5,5,4,5,0.8333333333333334,0.9166666666666666,0.9166666666666666,0
10724,724,2714,5,5,4,4,0.75,0.8333333333333334,0.8333333333333334,0
10725,725,2715,5,5,5,5,1,1,1,0
10733,733,2709,5,5,5,4,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
10734,734,2714,5,4,5,5,0.6666666666666666,1,0.9166666666666666,-0.08333333333333337
10735,735,2713,4,5,4,5,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.08333333333333326
10737,737,2701,4,5,4,5,0.75,0.8333333333333334,0.9166666666666666,0.08333333333333326
10738,738,2708,5,5,5,4,1,0.9166666666666666,0.9166666666666666,0
10741,741,2709,4,5,2,5,0.6666666666666666,0.6666666666666666,0.75,0.08333333333333337
10744,744,2716,5,5,5,5,0.8333333333333334,1,1,0
10747,747,2715,5,5,5,4,0.75,0.9166666666666666,0.9166666666666666,0
10748,748,2712,3,5,3,5,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.16666666666666674
10749,749,2710,2,4,5,5,1,0.75,0.9166666666666666,0.16666666666666663
10756,756,2717,5,4,5,5,1,1,0.9166666666666666,-0.08333333333333337
10761,761,2712,5,5,5,5,0.9166666666666666,1,1,0
10768,768,2715,5,5,1,2,0.5,0.4166666666666667,0.4166666666666667,0
10770,770,2702,5,5,4,4,0.9166666666666666,0.8333333333333334,0.8333333333333334,0
10774,774,2711,5,5,5,5,1,1,1,0
10778,778,2701,4,5,4,5,0.75,0.8333333333333334,0.9166666666666666,0.08333333333333326
10779,779,2715,5,5,5,4,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
10784,784,2706,4,4,4,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
10790,790,2711,4,4,4,NA,0.75,0.75,0.75,0
10792,792,2703,4,5,3,3,0.5,0.5833333333333334,0.6666666666666666,0.08333333333333326
10796,796,2712,5,5,5,5,1,1,1,0
10797,797,2714,5,5,4,4,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
10801,801,2710,5,5,4,5,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
10803,803,2720,5,5,5,5,0.8333333333333334,1,1,0
10808,808,2712,4,5,4,5,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.08333333333333326
10811,811,2713,5,5,4,5,1,0.9166666666666666,0.9166666666666666,0
10814,814,2709,5,5,2,5,1,0.75,0.75,0
10829,829,2716,4,4,4,4,0.6666666666666666,0.75,0.75,0
10830,830,2717,5,4,4,5,0.9166666666666666,0.9166666666666666,0.8333333333333334,-0.08333333333333326
10833,833,2712,5,5,2,4,0.75,0.6666666666666666,0.6666666666666666,0
10834,834,2705,4,5,1,3,0.25,0.4166666666666667,0.5,0.08333333333333331
10835,835,2719,5,4,4,5,0.5833333333333334,0.9166666666666666,0.8333333333333334,-0.08333333333333326
10836,836,2702,5,5,5,5,0.8333333333333334,1,1,0
10842,842,2701,3,5,5,5,0.8333333333333334,0.8333333333333334,1,0.16666666666666663
10843,843,2704,5,5,4,3,0.5833333333333334,0.75,0.75,0
10845,845,2720,5,4,4,4,1,0.8333333333333334,0.75,-0.08333333333333337
10851,851,2718,4,5,4,4,1,0.75,0.8333333333333334,0.08333333333333337
10856,856,2704,5,5,5,5,1,1,1,0
10864,864,2709,5,5,3,5,0.3333333333333333,0.8333333333333334,0.8333333333333334,0
10865,865,2703,4,4,4,4,0.75,0.75,0.75,0
10866,866,2711,5,5,5,5,1,1,1,0
10867,867,2708,5,5,3,5,0.6666666666666666,0.8333333333333334,0.8333333333333334,0
10868,868,2709,5,4,2,4,0.6666666666666666,0.6666666666666666,0.5833333333333334,-0.08333333333333326
