legacy_field,caseid,historical_value,approved_value
eu.free_trade_index_t3,161,0.65,0.6
eu.mil_att_11_12_t3,177,0.6625,0.65
eu.free_trade_index_t3,177,0.4375,0.4375
eu.mil_att_11_12_t3,3363,0.22499999999999998,0.2
eu.free_trade_index_t3,3363,0.275,0.275
eu.mil_att_11_12_t3,3299,0.4125,0.425
eu.free_trade_index_t3,3299,0.3875,0.3375
eu.mil_att_11_12_t3,1087,0.4625,0.4625
eu.free_trade_index_t3,1087,0.375,0.525
eu.mil_att_11_12_t3,1154,0.2375,0.21250000000000002
eu.free_trade_index_t3,1154,0.4875,0.4875
eu.mil_att_11_12_t3,1052,0.4375,0.4125
eu.free_trade_index_t3,1052,0.5,0.5
eu.mil_att_11_12_t3,1084,0.4375,0.4375
eu.free_trade_index_t3,1084,0.9,0.75
eu.mil_att_11_12_t3,1141,0.35000000000000003,0.275
eu.free_trade_index_t3,1141,0.4375,0.1875
eu.mil_att_11_12_t3,511,0.5,0.25
eu.free_trade_index_t3,511,0.75,0.75
eu.mil_att_11_12_t3,436,0.375,0.375
eu.free_trade_index_t3,436,1,1
eu.mil_att_11_12_t3,441,0.5375,0.45
eu.free_trade_index_t3,441,0.7625,0.6625
eu.mil_att_11_12_t3,559,0.35,0.3875
eu.free_trade_index_t3,559,0.875,0.725
eu.mil_att_11_12_t3,443,0.25,0.4375
eu.free_trade_index_t3,443,0.5625,0.5625
eu.mil_att_11_12_t3,427,0.25,0.4375
eu.free_trade_index_t3,427,0.825,0.875
eu.mil_att_11_12_t3,1615,0.325,0.2
eu.free_trade_index_t3,1615,0.5125,0.5625
eu.mil_att_11_12_t3,1199,0.425,0.425
eu.free_trade_index_t3,1199,0.375,0.225
eu.mil_att_11_12_t3,1109,0.6875,0.6625
eu.free_trade_index_t3,1109,0.625,0.575
eu.mil_att_11_12_t3,1227,0.39166666666666666,0.2875
eu.free_trade_index_t3,1227,0.4125,0.7125
eu.mil_att_11_12_t3,1140,0.3,0.3
eu.free_trade_index_t3,1140,0.6,0.6
eu.mil_att_11_12_t3,1173,0.6125,0.4125
eu.free_trade_index_t3,1173,0.725,0.625
eu.mil_att_11_12_t3,1660,0.85,0.725
eu.free_trade_index_t3,1660,0.75,0.875
eu.mil_att_11_12_t3,1656,0.47500000000000003,0.47500000000000003
eu.free_trade_index_t3,1656,0.875,0.775
eu.mil_att_11_12_t3,1694,0.4125,0.4
eu.free_trade_index_t3,1694,0.5,0.6
eu.mil_att_11_12_t3,1665,1,1
eu.free_trade_index_t3,1665,0.75,0.75
eu.mil_att_11_12_t3,1693,0.55,0.475
eu.free_trade_index_t3,1693,0.6,0.6
eu.mil_att_11_12_t3,1585,0.4375,0.3375
